Data,Milhas,Horario
02/10/2025,12050,15:15
03/10/2025,16929,15:15
04/10/2025,12050,13:55
05/10/2025,28539,16:40
06/10/2025,20267,21:40
07/10/2025,12050,15:15
08/10/2025,12050,15:15
09/10/2025,11695,15:15
10/10/2025,6870,15:15
11/10/2025,6707,13:55
12/10/2025,20267,16:40
13/10/2025,57147,21:40
14/10/2025,6870,21:40
15/10/2025,6627,15:15
16/10/2025,6870,21:40
17/10/2025,6788,15:15
18/10/2025,7032,13:55
19/10/2025,34972,22:15
20/10/2025,47319,15:15
21/10/2025,7158,15:15
22/10/2025,6870,15:15
23/10/2025,6545,15:15
24/10/2025,6788,15:15
25/10/2025,6950,19:15
26/10/2025,47319,14:40
27/10/2025,58159,21:45
28/10/2025,7111,21:45
29/10/2025,7273,15:00
30/10/2025,7354,21:45
