Data,Milhas,Horario
03/09/2026,17184,10:55
04/09/2026,38330,10:20
05/09/2026,38330,10:20
06/09/2026,38330,12:40
07/09/2026,38330,12:40
08/09/2026,38330,10:20
09/09/2026,38330,10:20
10/09/2026,17184,10:55
11/09/2026,17184,10:55
12/09/2026,17184,10:55
13/09/2026,17184,12:20
14/09/2026,17184,12:00
15/09/2026,17184,10:55
16/09/2026,17184,10:55
17/09/2026,17184,10:55
18/09/2026,17184,10:55
19/09/2026,17184,10:55
20/09/2026,17184,10:30
21/09/2026,17184,10:50
22/09/2026,17184,12:00
23/09/2026,17184,10:55
24/09/2026,17184,10:55
25/09/2026,17184,10:55
26/09/2026,17184,10:55
27/09/2026,17184,10:30
28/09/2026,17184,10:50
29/09/2026,17184,12:00
30/09/2026,17184,10:55
01/10/2026,17184,10:55
02/10/2026,17184,10:55
03/10/2026,17184,10:55
04/10/2026,17184,10:30
05/10/2026,17184,10:50
06/10/2026,17184,10:55
07/10/2026,17184,10:55
08/10/2026,17184,10:55
09/10/2026,38330,10:20
10/10/2026,38330,10:20
11/10/2026,38330,12:40
12/10/2026,38330,12:40
13/10/2026,38330,10:20
14/10/2026,38330,10:20
15/10/2026,17184,10:55
16/10/2026,17184,10:55
17/10/2026,17184,10:55
18/10/2026,17184,10:30
19/10/2026,17184,10:50
20/10/2026,17184,10:55
21/10/2026,17184,10:55
22/10/2026,17184,10:55
23/10/2026,17184,10:55
24/10/2026,17184,10:55
25/10/2026,17184,10:30
26/10/2026,17184,10:50
27/10/2026,60760,10:20
28/10/2026,60760,10:20
29/10/2026,60760,10:20
30/10/2026,60760,10:20
31/10/2026,60760,10:20
01/11/2026,60760,12:40
