Data,Milhas,Horario
01/11/2025,12430,14:45
02/11/2025,11945,14:45
03/11/2025,12914,14:45
04/11/2025,19618,14:45
05/11/2025,12107,14:45
06/11/2025,11945,14:45
07/11/2025,12430,14:45
08/11/2025,18488,14:45
09/11/2025,12430,14:45
10/11/2025,12914,14:45
11/11/2025,12751,14:45
12/11/2025,12914,14:45
13/11/2025,12592,14:45
14/11/2025,23985,14:45
15/11/2025,21126,14:45
16/11/2025,12430,14:45
17/11/2025,30448,14:45
18/11/2025,82789,14:45
19/11/2025,13074,14:45
20/11/2025,12430,14:45
21/11/2025,13398,14:45
22/11/2025,12430,14:45
23/11/2025,12270,14:45
24/11/2025,22966,14:45
25/11/2025,12270,14:45
26/11/2025,12914,14:45
27/11/2025,12107,14:45
28/11/2025,12107,14:45
29/11/2025,12914,14:45
