Data,Milhas,Horario
01/10/2025,16628,20:10
02/10/2025,16628,11:05
03/10/2025,16628,20:10
04/10/2025,26142,20:10
05/10/2025,26142,20:15
06/10/2025,16628,20:10
07/10/2025,16628,20:10
08/10/2025,16628,20:10
09/10/2025,16628,22:20
10/10/2025,26142,20:10
11/10/2025,16628,20:10
12/10/2025,16628,20:15
13/10/2025,26142,20:10
14/10/2025,16628,20:10
15/10/2025,16628,20:10
16/10/2025,16628,20:10
17/10/2025,16628,11:05
18/10/2025,16628,20:10
19/10/2025,16628,20:15
20/10/2025,16628,20:10
21/10/2025,16628,20:10
22/10/2025,16628,11:05
23/10/2025,16628,20:10
24/10/2025,16628,20:10
25/10/2025,16628,20:10
26/10/2025,16628,11:10
27/10/2025,16628,11:05
28/10/2025,16628,11:05
29/10/2025,16628,11:05
30/10/2025,16628,11:05
31/10/2025,16628,20:40
01/11/2025,25882,20:15
02/11/2025,26142,11:10
03/11/2025,26142,20:40
04/11/2025,24311,13:50
05/11/2025,24832,13:50
06/11/2025,24572,20:40
07/11/2025,24832,20:40
08/11/2025,26142,11:25
09/11/2025,25882,20:30
10/11/2025,25359,20:40
11/11/2025,25097,20:40
12/11/2025,25097,11:05
13/11/2025,25882,20:40
14/11/2025,26142,20:40
15/11/2025,24832,13:50
16/11/2025,26142,11:10
17/11/2025,26142,20:40
18/11/2025,26142,20:40
19/11/2025,26142,11:25
20/11/2025,29097,15:00
21/11/2025,25359,13:50
22/11/2025,25097,13:50
23/11/2025,26142,12:35
24/11/2025,26142,11:25
25/11/2025,25359,13:50
26/11/2025,24572,20:40
27/11/2025,25359,20:40
28/11/2025,24572,13:50
29/11/2025,25618,20:15
